Source,Hindi,Transliteration,Meaning
Daily Conversation - Greetings,विद्या: मैं विद्या हूँ| आप कैसे हैं,Vidya: main vidyaa hoon. aap kaise hain,Vidya: I am Vidya. How are you
Daily Conversation - Greetings,पीटर: मैं अच्छा हूँ| और आप,Peter: main achchhaa hoon. aur aap,Peter: I am well. and you
Daily Conversation - Greetings,"विद्या: मैं भी अच्छी हूँ, धन्यवाद ! आपकी उम्र कितनी है","Vidya: ,  !    ? main bhii achchhii hoon,",Vidya: Thanks! aapkii umr kitanii hai. I am well too. Thanks! What is your age
Daily Conversation - Greetings,पीटर: मैं उन्नीस साल का हूँ| आपका मेजर क्या है,Peter: main unniis saal kaa hoon. aapakaa major kyaa hai,Peter: I am 19 years old. What is your major
Daily Conversation - Greetings,"विद्या: मेरा मेजर अंग्रेज़ी है, और आपका","Vidya: ,  ? meraa major angrezii hai, aur aapakaa",Vidya: My major is English. And yours
Daily Conversation - Greetings,पीटर: मेरा भी,Peter: meraa bhii,Peter: Mine too
Daily Conversation - Greetings,विद्या: आप से मिलकर ख़ुशी हुई,Vidya: aap se milakar khushii huii,Vidya: Nice to meet you
Daily Conversation - Greetings,"पीटर: मुझे भी, नमस्ते","Peter: ,  ! mujhe bhii, namaste","Peter: Me too, Bye"
Daily Conversation - Greetings,विद्या: नमस्ते,Vidya: namaste,Vidya: Bye! Please watch the following video and listen to th e above conversation and check your reading and pronunciation. BBASIC HINDIASIC HINDI      4949
Daily Conversation - Friends Meet,ऋतिक: नमस्ते,Hritik: namaste,Hritik: Hello
Daily Conversation - Friends Meet,विद्या: नमस्ते,Vidya: namaste,Vidya: Hello
Daily Conversation - Friends Meet,ऋतिक: क्या हाल है,Hritik: kyaa haal hai,Hritik: How are you
Daily Conversation - Friends Meet,विद्या: सब ठीक है | और तुम,Vidya: sab Thiik hai. aur tum,Vidya: All is well. and you
Daily Conversation - Friends Meet,ऋतिक: मैं भी ठीक हूँ,Hritik: main bhii Thiik hoon,Hritik: I am well too
Daily Conversation - Friends Meet,विद्या: क्लास चलें,Vidya: class chalen,Vidya: Should we go to class
Daily Conversation - Friends Meet,ऋतिक: चलो |  | क्लास के बाद      “After the class.” “After the class.”,Hritik: chalo,Hritik: Let’s go
Daily Conversation - Friends Meet,"विद्या: फिर मिलेंगे, नमस्ते","Vidya: ,  ! phir milenge, namaste","Vidya: See you again, Bye"
Daily Conversation - Friends Meet,"ऋतिक: ठीक है, नमस्ते","Hritik: ThIka hai, namaste","Hritik: ,  ! Thiik hai, namaste! Okay, Bye! Listening: Please watch the following video and listen to the above conversation and check your reading and pronunciation. Instructor Video: Instructor Video: Informal Conversation Informal Conversation BBASIC HINDIASIC HINDI      5151 51"
Daily Conversation - Contact Info,शिल्पा: हेलो पीटर! क्या चल रहा है,Shilpa: Hello Peter! kyaa chal rahaa hai,Shilpa: Hello Peter! What is going on
Daily Conversation - Contact Info,"पीटर: नमस्ते शिल्पा, सब ठीक है| क्या हाल है?  ,   |   ? namaste Shilpaa, sab Thiik hai",Peter: kyaa haal hai,"Peter: Hellp Shilpa, All is well. How are  you"
Daily Conversation - Contact Info,"शिल्पा: सब ठीक है| अच्छा, आपका ई.मेल एड्रेस क्या   | है","Shilpa: ,  . ? sab Thiik hai| achchhaa, aapkaa e.mail address kyaa hai","Shilpa: All is well. Okay, what is your e.mail address"
Daily Conversation - Contact Info,पीटर: मेरा ई.मेल एड्रेस .   peter@gmail.com है| और | आपका,Peter: meraa e.mail address peter@gmail.com hai. aur aapkaa? My e.mail address is peter@gmail.com,Peter: And yours
Daily Conversation - Contact Info,शिल्पा: मेरा ई.मेल एड्रेस .   shilpaa@gmail.com है| | meraa e.mail address shilpaa@gmail.com,Shilpa: merA I.mela eDresa .   shilpaa@gmail.com hai| | meraa e.mail address shilpaa@gmail.com,Shilpa: hai. My e.mail address is shilpaa@gmail.com
Daily Conversation - Contact Info,पीटर: आपका फ़ोन नंबर क्या है,Peter: aapkaa phone number kyaa hai,Peter: What is your phone number
Daily Conversation - Contact Info,शिल्पा: मेरा फ़ोन नंबर   555-xxx-xxxx है| और आपका,Shilpa: meraa phone number 555-xxx-xxxx hai. aur aapkaa,Shilpa: My phone number is 555-xxx-xxx. And yours
Daily Conversation - Contact Info,पीटर: मेरा फ़ोन नंबर   555-xxx-xxxx है,Peter: meraa phone number 555-xxx-xxx hai,Peter: My phone number is 555-xxx-xxx
Daily Conversation - Contact Info,"शिल्पा: धन्यवाद ! फिर मिलेंगे, नमस्ते |  !  ,","Shilpa: dhanyawaad! phir milenge, namaste","Shilpa: Thanks! See you again, Bye"
Daily Conversation - Contact Info,"पीटर: अच्छा, बाय","Peter: , ! achchhaa, bye! Okay, Bye! Listening: Please watch the following video and listen to th e above conversation and check your reading and pronunciation. Instructor Video: Instructor Video: Asking for contact information Asking for contact information Test Yourself Test Yourself An interactive H5P element has been excluded from this version of the text. You can view it online here: https://openbooks.lib.msu.edu/basichindi/?p=759#h5p-14 ACTIVITIES ACTIVITIES In your classroom and/or outside the classroom, identify 2-3 Hindi learners/speakers. Introduce yourself, and ask questions in Hindi such as name, major, age, where is s/he from, phone number, and e.mail address","Peter: In addition to these 6 questions, please try to create 2-4 more questions based on your own creativity. BBASIC HINDIASIC HINDI      5353"
Daily Conversation - With Teacher,"विद्या: नमस्ते, अध्यापक जी,","Vidya: namaste, adhyApaka jI,","Vidya: namaste, adhyaapak ji Hello Sir"
Daily Conversation - With Teacher,"अक्षय: नमस्ते, विद्या जी| आप कैसी हैं ? ,","Akshay: namaste, vidyA jI| Apa kaisI haiM ? ,","Akshay: namaste, Vidya ji. aap kaisii hain? Hello Vidya ji. How are you"
Daily Conversation - With Teacher,विद्या: मैं अच्छी हूँ| धन्यवाद | आप कैसे हैं,Vidya: maiM achChI hU.N| dhanyavAda | Apa kaise haiM,Vidya: main achchhii hoon. Dhanyawaad. aap kaise hain? I am good. Thank you. How are you
Daily Conversation - With Teacher,"अक्षय: मैं भी ठीक हूँ | फिर मिलेंगे, नमस्ते |     |  ,","Akshay: maiM bhI ThIka hU.N | phira mileMge, namaste |     |  ,","Akshay: main bhii Thiik hoon. phir milenge, namaste. I am good too. See you again, bye"
Daily Conversation - With Teacher,"विद्या: फिर मिलेंगे, नमस्ते |  ,","Vidya: phira mileMge, namaste |  ,","Vidya: phir milenge, namaste. See you again, bye. Video 3. Listening: Formal Conversation with a Hindi Teacher Video 3. Listening: Formal Conversation with a Hindi Teacher Listening: Please watch the following video and listen to th e above conversation and check your reading and pronunciation. Instructor Video: Instructor Video: Conversation with a Hindi teacher Conversation with a Hindi teacher Test Yourself Test Yourself An interactive H5P element has been excluded from this version of the text. You can view it online here: https://openbooks.lib.msu.edu/basichindi/?p=761#h5p-7 BBASIC HINDIASIC HINDI      5555 55"
Daily Conversation - Family,शिल्पा: नमस्ते पीटर ! आप कैसे हैं ? Shilpa,Shilpa: namaste pITara ! Apa kaise haiM ? Shilpa,Shilpa: Hello Peter! How are you
Daily Conversation - Family,"पीटर: नमस्ते शिल्पा, मैं अच्छा हूँ, धन्यवाद | और आप ? Peter","Peter: namaste shilpA, maiM achChA hU.N, dhanyavAda | aura Apa ? Peter","Peter: Hello Shilpa, I am well, thanks. And you"
Daily Conversation - Family,"शिल्पा: मैं भी ठीक हूँ | धन्यवाद | चलिये, काम शुरू करते  हैं | Shilpa","Shilpa: maiM bhI ThIka hU.N | dhanyavAda | chaliye, kAma shurU karate  haiM | Shilpa",Shilpa: I am okay too. Thanks. Let’s start the work
Daily Conversation - Family,"पीटर: ठीक है| बताइये, आपका परिवार कहाँ रहता है ? Peter","Peter: ThIka hai| batAiye, ApakA parivAra kahA.N rahatA hai ? Peter","Peter: Okay. Please tell, where does your family live"
Daily Conversation - Family,शिल्पा: मेरा परिवार शिकागो में रहता है | और आपका ? Shilpa,Shilpa: merA parivAra shikAgo meM rahatA hai | aura ApakA ? Shilpa,Shilpa: My family lives in Chicago. And yours
Daily Conversation - Family,पीटर: मेरा परिवार डेट्रॉइट में है | Peter,Peter: merA parivAra DeTraॉiTa meM hai | Peter,Peter: My family lives in Detroit
Daily Conversation - Family,शिल्पा: आपकी माता जी का नाम क्या है ? Shilpa,Shilpa: ApakI mAtA jI kA nAma kyA hai ? Shilpa,Shilpa: What is your mother’s name
Daily Conversation - Family,पीटर: मेरी माँ का नाम लिज़ है | आपकी माँ का नाम क्या है? Peter:My,Peter: merI mA.N kA nAma liz hai | ApakI mA.N kA nAma kyA hai? Peter:My,Peter: mother’s name is Liz. What is your mother’s name
Daily Conversation - Family,शिल्पा: मेरी माँ का नाम देवकी पटेल है | आपकी माँ क्या करती हैं ? Shilpa,Shilpa: merI mA.N kA nAma devakI paTela hai | ApakI mA.N kyA karatI haiM ? Shilpa,Shilpa: My mother’s name is Devaki Patel. What does your mother do
Daily Conversation - Family,पीटर: मेरी माँ एक विद्यालय में अध्यापिका हैं | और आपकी माँ ? Peter,Peter: merI mA.N eka vidyAlaya meM adhyApikA haiM | aura ApakI mA.N ? Peter,Peter: My mother is a school teacher. and your mother
Daily Conversation - Family,शिल्पा: मेरी माँ एक गृहिणी हैं | आपके पिता जी का नाम क्या है ? Shilpa,Shilpa: merI mA.N eka gRRihiNI haiM | Apake pitA jI kA nAma kyA hai ? Shilpa,Shilpa: My mother is a house-wife. What is your father’s name
Daily Conversation - Family,"पीटर: मेरे पिता जी का नाम एडम है, और 1वह/वे [In also find use of वे case, वह and वे both are pronounced वो] एक डॉक्टर हैं | और आपके पिता जी का नाम क्या है और वह/वे क्या करते हैं","Peter: mere pitA jI kA nAma eDama hai, aura 1vaha/ve [In also find use of ve case, vaha and ve both are pronounced vo] eka DaॉkTara haiM | aura Apake pitA jI kA nAma kyA hai aura vaha/ve kyA karate haiM","Peter: some books, one can for 3rd person singular honorific subject. In any ? Peter:My father's name is Adam, he is a doctor. What is your father's name and what does he do"
Daily Conversation - Family,"शिल्पा: मेरे पिता जी का नाम कृष्णचंद पटेल है, और वह/वे एक वैज्ञानिक हैं | Shilpa","Shilpa: mere pitA jI kA nAma kRRiShNachaMda paTela hai, aura vaha/ve eka vaij~nAnika haiM | Shilpa","Shilpa: My father's name is Krishnachand Patel, and he is a scientist"
Daily Conversation - Family,पीटर: आपके कितने  भाई बहन हैं ? Peter,Peter: Apake kitane  bhAI bahana haiM ? Peter,Peter: How many brothers and sisters do you have
Daily Conversation - Family,"शिल्पा: मेरा एक भाई है, उसका नाम साहिल है| मेरी कोई बहन नहीं है| और आपके कितने भाई बहन हैं","Shilpa: merA eka bhAI hai, usakA nAma sAhila hai| merI koI bahana nahIM hai| aura Apake kitane bhAI bahana haiM","Shilpa: I have a brother, his name is Sahil. I have no sisters. And how many brothers and sisters do you have"
Daily Conversation - Family,पीटर: मैं इकलौता हूँ | मेरे कोई भाई बहन नहीं हैं | Peter,Peter: maiM ikalautA hU.N | mere koI bhAI bahana nahIM haiM | Peter,Peter: I am only one. I have no brothers and sisters
Daily Conversation - Family,शिल्पा: क्या आपके दादा-दादी भी आपके साथ डेट्रॉइट में रहते हैं ? Shilpa,Shilpa: kyA Apake dAdA-dAdI bhI Apake sAtha DeTraॉiTa meM rahate haiM ? Shilpa,Shilpa: Do your grand-parents live with you in Detroit
Daily Conversation - Family,पीटर: नहीं मेरे दादा-दादी हमारे साथ नहीं रहते | उनका अपना अलग घर है| क्या आपके दादा-दादी आपके साथ रहते हैं,Peter: nahIM mere dAdA-dAdI hamAre sAtha nahIM rahate | unakA apanA alaga ghara hai| kyA Apake dAdA-dAdI Apake sAtha rahate haiM,"Peter: No, my grand-parents do not live with us. They have their own separate house. Do your grand-parents live with you"
Daily Conversation - Family,"शिल्पा: जी हाँ | हिन्दुस्तानी परिवार में, माता-पिता, भाई-बहन, दादा-दादी, चाचा-चाची, सब एक साथ एक घर में रहते हैं","Shilpa: jI hA.N | hindustAnI parivAra meM, mAtA-pitA, bhAI-bahana, dAdA-dAdI, chAchA-chAchI, saba eka sAtha eka ghara meM rahate haiM","Shilpa: Yes, In an Indian family, mother-father, brother-sister, grand-parents, uncle-aunt, all live together in the same house"
Daily Conversation - Family,"पीटर: अरे वाह ! यह तो बहुत अच्छी बात है | अच्छा, फिर मिलेंगे, नमस्ते | Peter","Peter: are vAha ! yaha to bahuta achChI bAta hai | achChA, phira mileMge, namaste | Peter","Peter: Oh Wao! This is a very good thing. Okay, see you again, Namaste"
Daily Conversation - Family,"शिल्पा: ठीक है, बाय Shilpa","Shilpa: ThIka hai, bAya Shilpa","Shilpa: Okay, Bye 1. BBASIC HINDIASIC HINDI      8787"
Daily Conversation - House Tour,"ऋतिक: ओ हो ! विद्या है | नमस्ते, क्या हाल है","Hritik: o ho ! vidyA hai | namaste, kyA hAla hai","Hritik: Oho! It is Vidya. Hello, how are you"
Daily Conversation - House Tour,"विद्या: नमस्ते, सब ठीक है| तुम कैसे हो","Vidya: namaste, saba ThIka hai| tuma kaise ho","Vidya: Hello, All is well. How are you"
Daily Conversation - House Tour,"ऋतिक: मैं भी ठीक हूँ | आओ, अन्दर आओ | विद्या धन्यवाद, तुम्हारा घर बहुत सुन्दर है","Hritik: maiM bhI ThIka hU.N | Ao, andara Ao | vidyA dhanyavAda, tumhArA ghara bahuta sundara hai","Hritik: I am okay too. come, come inside. Thanks, your home is very beautiful"
Daily Conversation - House Tour,"ऋतिक: शुक्रिया, चलो, मैं तुम्हें पूरा घर दिखाता हूँ","Hritik: shukriyA, chalo, maiM tumheM pUrA ghara dikhAtA hU.N","Hritik: Thanks, Let’s go, I will show you my whole house"
Daily Conversation - House Tour,"विद्या: ठीक है, चलो","Vidya: ThIka hai, chalo","Vidya: Okay, Let’s go"
Daily Conversation - House Tour,"ऋतिक: यह हमारे घर का दरवाज़ा है | उसके बाद एक गलियारा है | गलियारे के बाद एक और दरवाज़ा है | उस दरवाज़े के बाद, हमारी बैठक है | बैठक के बायीं तरफ़ हमारी रसोई, और खाने का कमरा है | बैठक के दायीं तरफ़, पढ़ने का कमरा, पूजा घर, और अतिथी का कमरा भी है| बैठक में ही, एक सीढ़ी है","Hritik: yaha hamAre ghara kA daravAzA hai | usake bAda eka galiyArA hai | galiyAre ke bAda eka aura daravAzA hai | usa daravAze ke bAda, hamArI baiThaka hai | baiThaka ke bAyIM tarafa hamArI rasoI, aura khAne kA kamarA hai | baiThaka ke dAyIM tarafa, parhne kA kamarA, pUjA ghara, aura atithI kA kamarA bhI hai| baiThaka meM hI, eka sIrhI hai","Hritik: This is the door of our house. After that there is a corridor. After the corridor, there is another door. After that door, there is our living room. On the left side of the living room, there is our kitchen and dinning room. On the right side of the living room, there is a study room, worship room, and a guest room too. In the living room itself, there is a staircase"
Daily Conversation - House Tour,विद्या: और ऊपर की मंज़िल पर क्या-क्या है,Vidya: aura Upara kI maMzila para kyA-kyA hai,Vidya: And what are there on the top floor
Daily Conversation - House Tour,"ऋतिक: ऊपर की मंज़िल पर, तीन सोने के कमरे हैं | हर कमरे में, एक-एक शौचालय और स्नानघर है | ऊपर की मंज़िल पर, एक छज्जा भी है","Hritik: Upara kI maMzila para, tIna sone ke kamare haiM | hara kamare meM, eka-eka shauchAlaya aura snAnaghara hai | Upara kI maMzila para, eka ChajjA bhI hai","Hritik: On the top floor, there are three bedrooms. In each room, there is a toilet and shower. There is a balcony too on the top floor"
Daily Conversation - House Tour,विद्या: क्या नीचे की मंज़िल पर कोई शौचालय नहीं है,Vidya: kyA nIche kI maMzila para koI shauchAlaya nahIM hai,Vidya: Is there no toilet on the bottom floor
Daily Conversation - House Tour,"ऋतिक: हाँ, एक शौचालय और स्नानघर नीचे की मंज़िल पर भी है","Hritik: hA.N, eka shauchAlaya aura snAnaghara nIche kI maMzila para bhI hai","Hritik: Yes, There is one toilet and shower at the bottom floor too"
Daily Conversation - House Tour,"विद्या: ऋतिक, तुम्हारा घर बहुत अच्छा, साफ़ और हवादार भी है | क्या तुम्हारे घर में कोई बगीचा है ऋतिक घर के पीछे, एक छोटा सा बगीचा भी है | वह मेरी माँ की सबसे पसंदीदा जगह है","Vidya: RRitika, tumhArA ghara bahuta achChA, sAf aura havAdAra bhI hai | kyA tumhAre ghara meM koI bagIchA hai RRitika ghara ke pIChe, eka ChoTA sA bagIchA bhI hai | vaha merI mA.N kI sabase pasaMdIdA jagaha hai","Vidya: Hritik, your house is very good, clean and airy too. Is there any garden in your house? Behind the house, there is a small gardem. This is my mother’s favorite place"
Daily Conversation - House Tour,विद्या: अरे वाह ! मुझे भी बगीचा बहुत पसंद है | और तुम्हारा कमरा कहाँ है,Vidya: are vAha ! mujhe bhI bagIchA bahuta pasaMda hai | aura tumhArA kamarA kahA.N hai,"Vidya: O wao! I, too, like garden a lot. And where is your room"
Daily Conversation - House Tour,ऋतिक: मेरा कमरा ऊपर की मंज़िल पर है | मेरा कमरा अभी गंदा है | मैं तुम्हें अपना कमरा बाद में दिखाऊंगा,Hritik: merA kamarA Upara kI maMzila para hai | merA kamarA abhI gaMdA hai | maiM tumheM apanA kamarA bAda meM dikhAUMgA,"Hritik: My room is on the top floor. Right now, my room is dirty. I will show you my room later"
Daily Conversation - House Tour,विद्या: ठीक है,Vidya: ThIka hai,Vidya: Okay. BBASIC HINDIASIC HINDI      123123
Daily Conversation - Room Tour,"ऋतिक: आओ विद्या, आज, मैं तुम्हें अपना कमरा दिखाता हूँ","Hritik: Ao vidyA, Aja, maiM tumheM apanA kamarA dikhAtA hU.N","Hritik: Come Vidya, today, I show you my room"
Daily Conversation - Room Tour,विद्या: चलो,Vidya: chalo,Vidya: Let’s go
Daily Conversation - Room Tour,"ऋतिक: यह मेरा कमरा है | मेरे कमरे में, एक बिस्तर है, एक मेज़, एक कुर्सी और एक छोटा सोफ़ा भी है| बिस्तर के बगल में एक छोटी मेज़ है | उस मेज़ पर, एक बिजली की बत्ती, एक फूलदान और एक घड़ी भी है","Hritik: yaha merA kamarA hai | mere kamare meM, eka bistara hai, eka mez, eka kursI aura eka ChoTA sofA bhI hai| bistara ke bagala meM eka ChoTI mez hai | usa mez para, eka bijalI kI battI, eka phUladAna aura eka gharI bhI hai","Hritik: This is my room. In my room, there is one bed, one table, one chair, and one small sofa too. On that table, there is an electric bulb, a flower vase, and one clock too"
Daily Conversation - Room Tour,"विद्या: पढ़ाई की मेज़ पर, क्या है","Vidya: parhAI kI mez para, kyA hai",Vidya: What are on the study table
Daily Conversation - Room Tour,"ऋतिक: पढ़ाई की मेज़ पर, एक कंप्यूटर, कुछ किताबें और एक कॉफ़ी कप है","Hritik: parhAI kI mez para, eka kaMpyUTara, kuCha kitAbeM aura eka kaॉfI kapa hai","Hritik: On the study table, there is a computer, a few books, and a coffee cup"
Daily Conversation - Room Tour,"विद्या: इस अलमारी में क्या है ऋतिक इस अलमारी में, मेरे कपड़े और जूतें हैं | देखो, उस दीवार पर सुन्दर तस्वीरें हैं | दरवाज़े के पीछे एक आईना भी है","Vidya: isa alamArI meM kyA hai RRitika isa alamArI meM, mere kapare aura jUteM haiM | dekho, usa dIvAra para sundara tasvIreM haiM | daravAze ke pIChe eka AInA bhI hai","Vidya: What is in this almirah? In this almirah, there are my clothes and shoes. Look, there are beautiful pictures on that wall. There is a mirror behind the door too"
Daily Conversation - Room Tour,विद्या: तुम्हारे कमरे का परदा बहुत सुन्दर है | और लगता है कि पंखा नया है,Vidya: tumhAre kamare kA paradA bahuta sundara hai | aura lagatA hai ki paMkhA nayA hai,Vidya: The curtain of your room is very beautiful. It seems that fan is new
Daily Conversation - Room Tour,"ऋतिक: जी हाँ, नया पंखा और नयी दरी भी","Hritik: jI hA.N, nayA paMkhA aura nayI darI bhI","Hritik: Yes, New fan and new rug too"
Daily Conversation - Room Tour,विद्या: तुम्हारा कमरा बहुत बड़ा और हवादार भी है,Vidya: tumhArA kamarA bahuta barA aura havAdAra bhI hai,Vidya: Your room is very bog and airy too
Daily Conversation - Room Tour,"ऋतिक: धन्यवाद ! क्या तुम भी मुझे अपना कमरा और घर दिखाओगी? विद्या हाँ, ज़रूर, क्यों नहीं ऋतिक का कमरा","Hritik: dhanyavAda ! kyA tuma bhI mujhe apanA kamarA aura ghara dikhAogI? vidyA hA.N, zrUra, kyoM nahIM RRitika kA kamarA","Hritik: Thanks ! Will you also show me your room and house? ? Yes, indeed, why not? Listening Listening Activity Activity Please make a list of at least 10 things of Hritik’s room and then of your room. 130130      Rajiv RanjanRajiv Ranjan"
Daily Conversation - Hometown,"पीटर: ऋतिक भाई, आप कहाँ से हैं","Peter: RRitika bhAI, Apa kahA.N se haiM","Peter: Brother Hritik, where are you from"
Daily Conversation - Hometown,"ऋतिक: मैं पटना, हिन्दुस्तान से हूँ | आप कहाँ से हैं","Hritik: maiM paTanA, hindustAna se hU.N | Apa kahA.N se haiM","Hritik: I am from Patna, India. Where are you from"
Daily Conversation - Hometown,"पीटर: मैं आयोवा के एक छोटे शहर आयोवा सिटी से हूँ | पटना, बिहार की राजधानी है, न","Peter: maiM AyovA ke eka ChoTe shahara AyovA siTI se hU.N | paTanA, bihAra kI rAjadhAnI hai, na","Peter: I am from a small town Iowa City, Iowa. Patna is the capital of Bihar, isn’t it"
Daily Conversation - Hometown,"ऋतिक: जी हाँ, मैं बिहारी हूँ | आयोवा सिटी की जनसंख्या कितनी है","Hritik: jI hA.N, maiM bihArI hU.N | AyovA siTI kI janasaMkhyA kitanI hai","Hritik: Yes, I am a Bihari. What is the population of Iowa City"
Daily Conversation - Hometown,"पीटर: आयोवा सिटी में लगभग पचहतर हज़ार लोग रहते हैं | और पटना में ऋतिक  पटना में लगभग, पच्चीस लाख लोग रहते हैं | शायद, आयोवा सिटी बहुत छोटा शहर है","Peter: AyovA siTI meM lagabhaga pachahatara hazAra loga rahate haiM | aura paTanA meM RRitika  paTanA meM lagabhaga, pachchIsa lAkha loga rahate haiM | shAyada, AyovA siTI bahuta ChoTA shahara hai","Peter: Approx 75 thousand people live in Iowa City. And in Patna? Approx, 2.5 million people live in Patna. Perhaps, Iowa City is a very small town"
Daily Conversation - Hometown,"पीटर: हाँ, आयोवा सिटी बहुत छोटा, मगर बहुत प्यारा शहर है","Peter: hA.N, AyovA siTI bahuta ChoTA, magara bahuta pyArA shahara hai","Peter: Yes, Iowa City is very small, but very lovely town"
Daily Conversation - Hometown,ऋतिक: क्या वहाँ कोई हवाई अड्डा है,Hritik: kyA vahA.N koI havAI aDDA hai,Hritik: Is there any airport there
Daily Conversation - Hometown,"पीटर: नहीं, मगर पास के शहर सीडर रैपिड्स में एक हवाई अड्डा है | आयोवा सिटी में रेलवे स्टेशन भी नहीं है | हाँ, एक बस स्टेशन है","Peter: nahIM, magara pAsa ke shahara sIDara raipiDsa meM eka havAI aDDA hai | AyovA siTI meM relave sTeshana bhI nahIM hai | hA.N, eka basa sTeshana hai","Peter: No, but there is an airport in near by town. Even railway station is not there in Iowa City. There is just one bus station"
Daily Conversation - Hometown,"ऋतिक: आयोवा सिटी में, कितने विद्यालय, महाविद्यालय, और विश्वविद्यालय हैं","Hritik: AyovA siTI meM, kitane vidyAlaya, mahAvidyAlaya, aura vishvavidyAlaya haiM","Hritik: How many schools, colleges, and universities are there in Iowa CIty"
Daily Conversation - Hometown,"पीटर: मेरे शहर में, दो विद्यालय, एक महाविद्यालय, और एक विश्वविद्यालय है","Peter: mere shahara meM, do vidyAlaya, eka mahAvidyAlaya, aura eka vishvavidyAlaya hai","Peter: In my town, there are two schools, one college, and one university"
Daily Conversation - Hometown,"ऋतिक: क्या आपके शहर में पुस्तकालय, संग्रहालय, सिनेमा घर, और चिड़ियाघर है","Hritik: kyA Apake shahara meM pustakAlaya, saMgrahAlaya, sinemA ghara, aura chiriyAghara hai","Hritik: Is there any library, museum, cinema hall and zoo in your town"
Daily Conversation - Hometown,"पीटर: जी हाँ, मेरे शहर में, दो पुस्तकालय, एक संग्रहालय, एक सिनेमाघर भी है | मगर चिड़ियाघर नहीं है","Peter: jI hA.N, mere shahara meM, do pustakAlaya, eka saMgrahAlaya, eka sinemAghara bhI hai | magara chiriyAghara nahIM hai","Peter: Yes, in my town, there are two libraries, one museum, one cinema hall. But, there is no zoo"
Daily Conversation - Hometown,"ऋतिक: अच्छा, क्या आयोवा सिटी में, कोई नदी, झील, तालाब और पहाड़ हैं","Hritik: achChA, kyA AyovA siTI meM, koI nadI, jhIla, tAlAba aura pahAr haiM","Hritik: Okay, Is there any river, lake, pond and mountain in Iowa City"
Daily Conversation - Hometown,"पीटर: मेरे शहर में, एक नदी, और कुछ तालाब हैं| वहाँ पहाड़ नहीं है | आयोवा एक कृषि प्रधान राज्य है और वहाँ बहुत समतल ज़मीन और खेत हैं","Peter: mere shahara meM, eka nadI, aura kuCha tAlAba haiM| vahA.N pahAr nahIM hai | AyovA eka kRRiShi pradhAna rAjya hai aura vahA.N bahuta samatala zmIna aura kheta haiM","Peter: In my town, there is a river and a few ponds. There is no mountain there. Iowa is an agriculture based state and there is a lot of even and farm land"
Daily Conversation - Hometown,"ऋतिक: क्या आपके शहर में, डाकघर, और पुलिस थाना आदि हैं","Hritik: kyA Apake shahara meM, DAkaghara, aura pulisa thAnA Adi haiM","Hritik: In your town, is there a post office, and a police station, etc"
