Source,Hindi,Transliteration,Meaning
Basic Hindi,होटल,hoTala,Hotel भवन n.m./इमारत n.f. Building अस्पताल n.m. Hospital
Basic Hindi,कार्यालय,kAryAlaya,Office डाकघर n.m. Post office पुलिस थाना n.m. Police station
Basic Hindi,चिड़ियाघर,chiriyAghara,Zoo पुस्तकालय n.m. Library संग्रहालय n.m. Museum
Basic Hindi,पुल,pula,Bridge मॉल n.m. Shopping mall स्कूल/ विद्यालय n.m. School
Basic Hindi,विश्वविद्यालय,vishvavidyAlaya,University कॉलेज/महाविद्यालय n.m. College पेट्रोल पम्प n.m. Gas station
Basic Hindi,मूली,mUlI,Radish
Basic Hindi,पालक,pAlaka,Spinach
Basic Hindi,करेला,karelA,Bitter gourd
Basic Hindi,मगर,magara,If
Basic Hindi,मौसम,mausama,Weather
Basic Hindi,महँगा,maha.NgA,Expensive
Basic Hindi,बहुत,bahuta,Very
Basic Hindi,दाम,dAma,Cost
Basic Hindi,आयात,AyAta,Import
Basic Hindi,राज्य,rAjya,State
Basic Hindi,बाज़ार,bAzAra,Market
Basic Hindi,आधा,AdhA,Half
Basic Hindi,फल,phala,Fruit
Basic Hindi,दर्जन,darjana,Dozen
Basic Hindi,केला,kelA,Banana
Basic Hindi,सेब,seba,Apple
Basic Hindi,भोजनालय,bhojanAlaya,Restaurant
Basic Hindi,स्वागत,svAgata,Welcome
Basic Hindi,ख़ाली,khAlI,Available
Basic Hindi,दृश्य,dRRishya,Scene
Basic Hindi,पानी,pAnI,Water
Basic Hindi,हरी,harI,Green
Basic Hindi,सब्ज़ी,sabzI,Vegetable
Basic Hindi,स्वादिष्ट,svAdiShTa,Delicious
Basic Hindi,सुबह,subaha,Morning सवा adj. 1.15 AM/PM
Basic Hindi,दोपहर,dopahara,Afternoon डेढ़ adj. 1:30 AM/PM
Basic Hindi,शाम,shAma,Evening ढ़ाई adj. 2:30 AM/PM
Basic Hindi,रात,rAta,Night सवा दो phrase 2:15 AM/PM
Basic Hindi,दिन,dina,Day साढ़े तीन phrase 3:00 AM/PM
Basic Hindi,रविवार,ravivAra,Sunday पौने चार phrase 03:45 AM/PM
Basic Hindi,सोमवार,somavAra,Monday x के पहले pp. Before X
Basic Hindi,मंगलवार,maMgalavAra,Tuesday x के बाद pp. After X
Basic Hindi,बुधवार,budhavAra,Wednesday सप्ताह n.m. Week
Basic Hindi,गुरूवार,gurUvAra,Thursday सप्ताहांत n.m. Weekend
Basic Hindi,शुक्रवार,shukravAra,Friday महीना n.m. Month
Basic Hindi,शनिवार,shanivAra,Saturday वर्ष n.m./साल n.m. Year
Basic Hindi,बजे,baje,O’clock कितने बजे phrase At what time
Basic Hindi,दोस्त,dosta,Friend x की तरफ़ pp. Towards X
Basic Hindi,आशा,AshA,Hope तेज़ी से adv. Fast
Basic Hindi,विशेष,visheSha,Special दौड़ना v.i. To run
Basic Hindi,कारण,kAraNa,Reason बचाना v.t. To save
Basic Hindi,वापस,vApasa,Return उठाना v.t. To lift
Basic Hindi,बाहर,bAhara,Out पैर n.m. Leg
Basic Hindi,पिछ्ला,piChlA,Last गिरना v.i. To fall
Basic Hindi,चचेरी बहन,chacherI bahana,Paternal uncle’s daughter पड़ना v.i. To lie down
Basic Hindi,शादी,shAdI,Marriage सुरक्षित adj. Safe
Basic Hindi,ख़ुश,khusha,Happy दर्द n.m. Pain
Basic Hindi,तैयारी,taiyArI,Preparation महशूस करना v.t. To feel
Basic Hindi,धूम-धाम,dhUma-dhAma,Grandeur अस्पताल n.m. Hospital
Basic Hindi,गोलगप्पा,golagappA,An Indian snacks हड्डी n.f. Bone
Basic Hindi,छोटा,ChoTA,Small इलाज़ करना v.t. To treatment
Basic Hindi,बच्चा,bachchA,Child आराम n.m. Rest
Basic Hindi,सड़क,sarka,Road हिदायत देना v.t. To instruct
Basic Hindi,स्वतंत्रता दिवस,svataMtratA divasa,Independence day क्योंकि conj. Because
Basic Hindi,हार्दिक,hArdika,Hearty राष्ट्रीय adj. National
Basic Hindi,शुभकामनाएँ,shubhakAmanAe.N,Congratulations त्योहार n.m. Festival
Basic Hindi,ऐतिहासिक,aitihAsika,Historical नि:शुल्क adj. Free
Basic Hindi,स्थान,sthAna,Place क्षेत्रीय adj. Regional
Basic Hindi,शायद,shAyada,Perhaps गणतंत्रता दिवस n.m. Republic day
Basic Hindi,कोई,koI,Someone ख़ुशी adj. Happiness
Basic Hindi,योजना,yojanA,Plan जन्मदिन n.m. Birthday
Basic Hindi,आदरणीय,AdaraNIya,Respected भाग्यशाली adj. Fortunate आकर्षित करना v.t. To attract
Basic Hindi,माँ,mA.N,Mother x के साथ pp. With x राज्य n.m. State
Basic Hindi,आशा,AshA,Hope रहना v.i. To stay अलग adj. Different/
Basic Hindi,कुशलता,kushalatA,"Well, efficient अवसर मिलना v.i. To get an"
Basic Hindi,आगे,Age,Ahead मदद करना v.t. To help मानना v.t. To suppose/To
Basic Hindi,पत्र,patra,Letter छोड़ना v.t. To leave देश n.m. Country
Basic Hindi,विशेष,visheSha,Special थोड़ा adj. A little आम तौर से/पर adv. Generally
Basic Hindi,कारण,kAraNa,Reason मुश्किल adj. Difficult बहुभाषी adj. Multilingual
Basic Hindi,पढ़ाई,parhAI,Study लगना v.i. To feel/appear मिठाई n.f. Sweets
Basic Hindi,वापस,vApasa,Return हृदय n.m. Heart कपड़ा n.m. Cloth
Basic Hindi,पहली बार,pahalI bAra,First time ऐतिहासिक adj. Historical शीघ्र adv. Soon
Basic Hindi,भाषा,bhAShA,Language धार्मिक adj. Religious अवश्य adv. Certainly
Basic Hindi,संस्कृति,saMskRRiti,Culture पर्यटन n.m. Tourism बताना v.t. To tell
Basic Hindi,जानकारी,jAnakArI,Information यात्रा n.f. Travel प्यार n.m. Love
Basic Hindi,बहुत,bahuta,Much/Very विविधता n.f. Diversity बेटी n.f. Daughter
Daily Conversation,आपका नाम क्या है,aapkaa naam kyaa hai,What is your name
Daily Conversation,मेरा नाम शिल्पा है| और आपका,merA nAma shilpA hai| aura ApakA,meraa naam shilpaa hai. aur
Daily Conversation,मेरा नाम विद्या है,meraa naam Vidya hai,My name is Vidya
Daily Conversation,आप कहाँ से हैं,aap kahaan se hain,Where are you from
Daily Conversation,मैं मिशिगन से हूँ | आप कहाँ से हैं,maiM mishigana se hU.N | Apa kahA.N se haiM,main Michigan se hoon. aap kahaan
Daily Conversation,मैं शिकागो से हूँ,main Chicago se hoon,I am from Chicago
Daily Conversation,आप कितने साल की हैं,aap kitane saal kii hain,How old are you
Daily Conversation,मैं बीस साल की हूँ| आपकी उम्र कितनी है,maiM bIsa sAla kI hU.N| ApakI umra kitanI hai,main biis saal kii hoon. aapkii umr
Daily Conversation,मैं इक्कीस (साल) की हूँ,main ikkiis (saal) kii hoon,I am 21
Daily Conversation,आपका मेजर क्या है,aapkaa major kyaa hai,What is your major
Daily Conversation,मेरा मेजर अंग्रेज़ी है| और आपका,merA mejara aMgrezI hai| aura ApakA,meraa major angrezii hai. aur
Daily Conversation,मेरा मेजर राजनीति शास्त्र है,meraa major raajaniiti shaastra hai,My major is Political science
Daily Conversation,यह लड़का कौन है,ye laRakaa kaun hai,Who is this boy
Daily Conversation,यह पीटर है,ye Peter hai,He is Peter
Daily Conversation,नमस्ते पीटर,namaste Peter,Hello Peter
Daily Conversation,नमस्ते ! आपका नाम क्या है,namaste! aapkaa naam kyaa hai,Hello! What is your name
Daily Conversation,मैं विद्या हूँ| आप कैसे हैं,main vidyaa hoon. aap kaise hain,I am Vidya. How are you
Daily Conversation,मैं अच्छा हूँ| और आप,main achchhaa hoon. aur aap,I am well. and you
Daily Conversation,"मैं भी अच्छी हूँ, धन्यवाद ! आपकी उम्र कितनी है",",  !    ? main bhii achchhii hoon,",Thanks
Daily Conversation,मैं उन्नीस साल का हूँ| आपका मेजर क्या है,maiM unnIsa sAla kA hU.N| ApakA mejara kyA hai,main unniis saal kaa hoon. aapakaa
Daily Conversation,"मेरा मेजर अंग्रेज़ी है, और आपका","merA mejara aMgrezI hai, aura ApakA",",  ? meraa major angrezii hai, aur"
Daily Conversation,मेरा भी,meraa bhii,Mine too
Daily Conversation,आप से मिलकर ख़ुशी हुई,aap se milakar khushii huii,Nice to meet you
Daily Conversation,"मुझे भी, नमस्ते",",  ! mujhe bhii, namaste","Me too, Bye"
Daily Conversation,क्या हाल है,kyaa haal hai,How are you
Daily Conversation,सब ठीक है | और तुम,sab Thiik hai. aur tum,All is well. and you
Daily Conversation,मैं भी ठीक हूँ,main bhii Thiik hoon,I am well too
Daily Conversation,क्लास चलें,class chalen,Should we go to class
Daily Conversation,चलो,chalo,Let’s go
Daily Conversation,"फिर मिलेंगे, नमस्ते",",  ! phir milenge, namaste","See you again, Bye"
Daily Conversation,"ठीक है, नमस्ते",",","Thiik hai, namaste! Okay, Bye"
Daily Conversation,हेलो पीटर! क्या चल रहा है,helo pITara! kyA chala rahA hai,Hello Peter! kyaa chal rahaa hai? Hello Peter! What is going
Daily Conversation,"नमस्ते शिल्पा, सब ठीक है| क्या हाल है?  ,   |   ? namaste Shilpaa, sab Thiik hai","namaste shilpA, saba ThIka hai| kyA hAla hai?  ,   |   ? namaste Shilpaa, sab Thiik hai",kyaa haal
Daily Conversation,"सब ठीक है| अच्छा, आपका ई.मेल एड्रेस क्या","saba ThIka hai| achChA, ApakA I.mela eDresa kyA",","
Daily Conversation,आपका फ़ोन नंबर क्या है,aapkaa phone number kyaa hai,What is your phone
Daily Conversation,मेरा फ़ोन नंबर   555-xxx-xxxx है| और आपका,merA fona naMbara   555-xxx-xxxx hai| aura ApakA,meraa phone number 555-xxx-xxxx hai
Daily Conversation,मेरा फ़ोन नंबर   555-xxx-xxxx है,meraa phone number 555-xxx-xxx hai,My phone number is
Daily Conversation,"धन्यवाद ! फिर मिलेंगे, नमस्ते |  !  ,","dhanyawaad! phir milenge, namaste","Thanks! See you again, Bye"
Daily Conversation,"अच्छा, बाय",", ! achchhaa, bye","Okay, Bye"
Daily Conversation,"नमस्ते, अध्यापक जी,","namaste, adhyApaka jI,","namaste, adhyaapak ji Hello Sir"
Daily Conversation,"नमस्ते, विद्या जी| आप कैसी हैं ? ,","namaste,",Vidya ji. aap kaisii hain? Hello Vidya ji. How are
Daily Conversation,मैं अच्छी हूँ| धन्यवाद | आप कैसे हैं,main achchhii hoon,Dhanyawaad. aap
Daily Conversation,"मैं भी ठीक हूँ | फिर मिलेंगे, नमस्ते |     |  ,","maiM bhI ThIka hU.N | phira mileMge, namaste |     |  ,","main bhii Thiik hoon. phir milenge,"
Daily Conversation,"फिर मिलेंगे, नमस्ते |  ,","phir milenge, namaste","See you again, bye"
Daily Conversation,नमस्ते पीटर ! आप कैसे हैं ? Shilpa,Hello Peter,How are you
Daily Conversation,"नमस्ते शिल्पा, मैं अच्छा हूँ, धन्यवाद | और आप ? Peter","Hello Shilpa,","I am well, thanks. And you"
Daily Conversation,"मैं भी ठीक हूँ | धन्यवाद | चलिये, काम शुरू करते  हैं | Shilpa",I am okay too,Thanks. Let’s start the work
Daily Conversation,"ठीक है| बताइये, आपका परिवार कहाँ रहता है ? Peter",Okay,"Please tell, where does your family live"
Daily Conversation,मेरा परिवार शिकागो में रहता है | और आपका ? Shilpa,My family lives in Chicago,And yours
Daily Conversation,मेरा परिवार डेट्रॉइट में है | Peter,merA parivAra DeTraॉiTa meM hai | Peter,My family lives in Detroit
Daily Conversation,आपकी माता जी का नाम क्या है ? Shilpa,ApakI mAtA jI kA nAma kyA hai ? Shilpa,What is your mother’s name
Daily Conversation,मेरी माँ का नाम लिज़ है | आपकी माँ का नाम क्या है? Peter:My,mother’s name is Liz,What is your
Daily Conversation,मेरी माँ का नाम देवकी पटेल है | आपकी माँ क्या करती हैं ? Shilpa,My mother’s name is Devaki Patel,What
Daily Conversation,मेरी माँ एक विद्यालय में अध्यापिका हैं | और आपकी माँ ? Peter,merI mA.N eka vidyAlaya meM adhyApikA haiM | aura ApakI mA.N ? Peter,My mother is a school teacher. and your
Daily Conversation,मेरी माँ एक गृहिणी हैं | आपके पिता जी का नाम क्या है ? Shilpa,My mother is a house-wife,What is your
Daily Conversation,"मेरे पिता जी का नाम एडम है, और 1वह/वे [In","mere pitA jI kA nAma eDama hai, aura 1vaha/ve [In","some books, one can"
Daily Conversation,"मेरे पिता जी का नाम कृष्णचंद पटेल है, और वह/वे एक वैज्ञानिक हैं | Shilpa","mere pitA jI kA nAma kRRiShNachaMda paTela hai, aura vaha/ve eka vaij~nAnika haiM | Shilpa","My father's name is Krishnachand Patel, and"
Daily Conversation,आपके कितने  भाई बहन हैं ? Peter,Apake kitane  bhAI bahana haiM ? Peter,How many brothers and sisters do you have
Daily Conversation,मैं इकलौता हूँ | मेरे कोई भाई बहन नहीं हैं | Peter,I am only one,I have no brothers and sisters
Daily Conversation,क्या आपके दादा-दादी भी आपके साथ डेट्रॉइट में रहते हैं ? Shilpa,kyA Apake dAdA-dAdI bhI Apake sAtha DeTraॉiTa meM rahate haiM ? Shilpa,Do your grand-parents live with you in
Daily Conversation,"अरे वाह ! यह तो बहुत अच्छी बात है | अच्छा, फिर मिलेंगे, नमस्ते | Peter",Oh Wao,"This is a very good thing. Okay, see"
Daily Conversation,"ठीक है, बाय Shilpa","Okay,",Bye
Daily Conversation,"ओ हो ! विद्या है | नमस्ते, क्या हाल है","o ho ! vidyA hai | namaste, kyA hAla hai","Oho! It is Vidya. Hello, how are you"
Daily Conversation,"नमस्ते, सब ठीक है| तुम कैसे हो","Hello,",All is well. How are you
Daily Conversation,"मैं भी ठीक हूँ | आओ, अन्दर आओ","maiM bhI ThIka hU.N | Ao, andara Ao","I am okay too. come, come inside"
Daily Conversation,"शुक्रिया, चलो, मैं तुम्हें पूरा घर दिखाता हूँ","Thanks,","Let’s go, I will show you my whole house"
Daily Conversation,"ठीक है, चलो","Okay,",Let’s go
Daily Conversation,और ऊपर की मंज़िल पर क्या-क्या है,aura Upara kI maMzila para kyA-kyA hai,And what are there on the top floor
Daily Conversation,क्या नीचे की मंज़िल पर कोई शौचालय नहीं है,kyA nIche kI maMzila para koI shauchAlaya nahIM hai,Is there no toilet on the bottom floor
Daily Conversation,"हाँ, एक शौचालय और स्नानघर नीचे की मंज़िल पर भी है","Yes,",There is one toilet and shower at the bottom
Daily Conversation,अरे वाह ! मुझे भी बगीचा बहुत पसंद है | और तुम्हारा कमरा कहाँ है,are vAha ! mujhe bhI bagIchA bahuta pasaMda hai | aura tumhArA kamarA kahA.N hai,"O wao! I, too, like garden a lot. And where is your"
Daily Conversation,ठीक है,ThIka hai,Okay
Daily Conversation,"आओ विद्या, आज, मैं तुम्हें अपना कमरा दिखाता हूँ","Come Vidya, today,",I show you my room
Daily Conversation,चलो,chalo,Let’s go
Daily Conversation,"पढ़ाई की मेज़ पर, क्या है","parhAI kI mez para, kyA hai",What are on the study table
Daily Conversation,"पढ़ाई की मेज़ पर, एक कंप्यूटर, कुछ किताबें और एक कॉफ़ी कप है","parhAI kI mez para, eka kaMpyUTara, kuCha kitAbeM aura eka kaॉfI kapa hai","On the study table, there is a computer, a few"
Daily Conversation,इस अलमारी में क्या है,isa alamArI meM kyA hai,What is in this almirah
Daily Conversation,"जी हाँ, नया पंखा और नयी दरी भी","Yes,",New fan and new rug too
Daily Conversation,तुम्हारा कमरा बहुत बड़ा और हवादार भी है,tumhArA kamarA bahuta barA aura havAdAra bhI hai,Your room is very bog and airy too
Daily Conversation,धन्यवाद ! क्या तुम भी मुझे अपना कमरा और घर दिखाओगी,Thanks,Will you also show me your room and
Daily Conversation,"ऋतिक भाई, आप कहाँ से हैं","RRitika bhAI, Apa kahA.N se haiM","Brother Hritik, where are you from"
Daily Conversation,"मैं पटना, हिन्दुस्तान से हूँ | आप कहाँ से हैं","maiM paTanA, hindustAna se hU.N | Apa kahA.N se haiM","I am from Patna, India. Where are you from"
Daily Conversation,"जी हाँ, मैं बिहारी हूँ | आयोवा सिटी की जनसंख्या कितनी है","jI hA.N, maiM bihArI hU.N | AyovA siTI kI janasaMkhyA kitanI hai","Yes, I am a Bihari. What is the population of Iowa"
Daily Conversation,आयोवा सिटी में लगभग पचहतर हज़ार लोग रहते हैं | और पटना में,AyovA siTI meM lagabhaga pachahatara hazAra loga rahate haiM | aura paTanA meM,Approx 75 thousand people live in Iowa City. And
Daily Conversation,"हाँ, आयोवा सिटी बहुत छोटा, मगर बहुत प्यारा शहर है","Yes,","Iowa City is very small, but very lovely town"
Daily Conversation,क्या वहाँ कोई हवाई अड्डा है,kyA vahA.N koI havAI aDDA hai,Is there any airport there
Daily Conversation,"अच्छा, क्या आयोवा सिटी में, कोई नदी, झील, तालाब और पहाड़ हैं","Okay,","Is there any river, lake, pond and mountain"
Daily Conversation,"क्या आपके शहर में, डाकघर, और पुलिस थाना आदि हैं","kyA Apake shahara meM, DAkaghara, aura pulisa thAnA Adi haiM","In your town, is there a post office, and a police"
Daily Conversation,"पटना के बारे में, हम बाद में बात करें | अब क्लास का समय है",Let’s talk about Patna later,"Now, it is time for class"
Daily Conversation,"ठीक है, कोई बात नहीं","Okay,",No problem
Daily Conversation,नमस्ते भइया,namaste bhaiyA,Hello
Daily Conversation,"जी नमस्ते, आपको क्या चाहिए","jI namaste, Apako kyA chAhie","Yes, What do you want"
Daily Conversation,आपके पास कौन-कौन सी सब्ज़ियाँ हैं,Apake pAsa kauna-kauna sI sabziyA.N haiM,What types of vegetables do you have
Daily Conversation,"कोई बात नहीं, बैंगन कितने का है","koI bAta nahIM, baiMgana kitane kA hai","No problem, What is the cost of"
Daily Conversation,बैंगन 50 रूपये किलो है,baiMgana 50 rUpaye kilo hai,Eggplant is 50 rupees per kilo
Daily Conversation,मुझे लगता है कि यह बहुत महँगा है,mujhe lagatA hai ki yaha bahuta maha.NgA hai,"I think, it is quite expensive"
Daily Conversation,"अच्छा भइया, मुझे मटर, इस बाज़ार में, कहाँ मिलेगा","achChA bhaiyA, mujhe maTara, isa bAzAra meM, kahA.N milegA","Okay brother, where can I get peas in"
Daily Conversation,इस बाज़ार में तो आपको मटर कहीं नहीं मिलेगा,isa bAzAra meM to Apako maTara kahIM nahIM milegA,You will not get peas in this market
